"Accuracy","Number of Merges","_defaultColorIndex","id","name"
"0.8429718875502008","0","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
"0.8453815261044176","1","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
"0.8461847389558232","2","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
"0.844578313253012","3","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
"0.8449799196787149","4","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
"0.8453815261044176","5","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
"0.8453815261044176","6","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
"0.844578313253012","7","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
"0.844578313253012","8","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
"0.8441767068273093","9","3","a2bp92o4","STEP_1_BPE_xnli_ZeTT_dynamic_bpe_lng_en_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_dynamic_bpe_en_lora_alpha_256_drop_0.3_rank_128_seed_42_merges_10_10062024"
